               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10494,             0.14565,                   0,             0.10169,             0.25886,            0.065687,            0.016689,            0.081843,             0.18471,                   0,              0.0748,              0.0028,              0.0028
                   1,            0.085175,             0.14806,                   0,            0.090616,             0.16955,            0.056716,            0.011538,            0.089067,             0.18525,                   0,            0.048587,           0.0055871,           0.0055871
                   2,            0.082363,             0.14523,                   0,             0.19934,             0.32481,             0.18364,            0.058256,            0.077876,             0.14341,                   0,            0.022259,           0.0082594,           0.0082594
                   3,            0.076791,             0.13936,                   0,             0.16867,             0.26546,             0.15202,            0.040117,            0.079276,             0.17035,                   0,            0.009406,            0.009406,            0.009406
                   4,            0.072394,             0.13473,                   0,             0.17725,             0.19786,              0.1455,              0.0385,            0.071843,             0.14978,                   0,            0.009406,            0.009406,            0.009406
                   5,             0.06753,             0.14352,                   0,             0.14162,             0.31135,             0.13786,            0.037525,            0.067534,              0.1829,                   0,            0.009208,            0.009208,            0.009208
                   6,            0.063675,             0.14082,                   0,             0.27616,             0.46496,             0.30502,            0.092032,            0.058192,             0.14477,                   0,             0.00901,             0.00901,             0.00901
                   7,            0.061096,             0.14156,                   0,             0.44115,             0.49959,             0.49242,             0.18398,            0.053635,             0.14292,                   0,            0.008812,            0.008812,            0.008812
                   8,            0.060044,             0.14139,                   0,             0.35096,              0.4864,             0.38197,             0.11458,            0.056355,             0.14556,                   0,            0.008614,            0.008614,            0.008614
                   9,            0.058437,             0.13785,                   0,              0.4323,             0.54823,             0.50303,             0.16689,            0.055687,               0.142,                   0,            0.008416,            0.008416,            0.008416
                  10,            0.057513,             0.13732,                   0,             0.39092,             0.46385,             0.41169,             0.13782,            0.053694,             0.15638,                   0,            0.008218,            0.008218,            0.008218
                  11,            0.055033,             0.13843,                   0,             0.47158,             0.49736,              0.5034,             0.19041,            0.051969,             0.14373,                   0,             0.00802,             0.00802,             0.00802
                  12,            0.054518,             0.14061,                   0,             0.51138,             0.55565,             0.56415,             0.23205,            0.047992,             0.14673,                   0,            0.007822,            0.007822,            0.007822
                  13,             0.05376,             0.14223,                   0,             0.49017,             0.53614,             0.53617,             0.21162,             0.05039,             0.14961,                   0,            0.007624,            0.007624,            0.007624
                  14,            0.052121,             0.13275,                   0,             0.50092,              0.5452,             0.55459,             0.22843,            0.047794,             0.14509,                   0,            0.007426,            0.007426,            0.007426
                  15,            0.051395,              0.1348,                   0,             0.48234,              0.5562,             0.54275,             0.21866,              0.0483,              0.1464,                   0,            0.007228,            0.007228,            0.007228
                  16,            0.050946,             0.13827,                   0,             0.47538,             0.56884,             0.54754,             0.21714,            0.049371,             0.14506,                   0,             0.00703,             0.00703,             0.00703
                  17,            0.050979,             0.13846,                   0,             0.48531,             0.52185,             0.52064,             0.20002,             0.05146,             0.14612,                   0,            0.006832,            0.006832,            0.006832
                  18,            0.051614,             0.14117,                   0,             0.50358,             0.50261,             0.52766,             0.21376,            0.049222,             0.14642,                   0,            0.006634,            0.006634,            0.006634
                  19,            0.049623,             0.13529,                   0,             0.54204,              0.5485,             0.56693,              0.2385,            0.047647,             0.14888,                   0,            0.006436,            0.006436,            0.006436
                  20,            0.049563,             0.13694,                   0,             0.53814,             0.52597,              0.5446,             0.22739,            0.048139,             0.14885,                   0,            0.006238,            0.006238,            0.006238
                  21,            0.049549,             0.13668,                   0,             0.55045,             0.52624,             0.55515,             0.22248,            0.048311,             0.14518,                   0,             0.00604,             0.00604,             0.00604
                  22,            0.048177,             0.13403,                   0,              0.5223,             0.57076,             0.56343,             0.23126,            0.046823,             0.14544,                   0,            0.005842,            0.005842,            0.005842
                  23,            0.048377,             0.13559,                   0,             0.52815,             0.54218,             0.54451,              0.2206,            0.048323,             0.14951,                   0,            0.005644,            0.005644,            0.005644
                  24,            0.048451,             0.13487,                   0,             0.54798,             0.52202,             0.54804,             0.21909,            0.048775,             0.15039,                   0,            0.005446,            0.005446,            0.005446
                  25,             0.04873,             0.13659,                   0,             0.54489,             0.53311,             0.55877,             0.23283,            0.047338,             0.14637,                   0,            0.005248,            0.005248,            0.005248
                  26,            0.048069,             0.14063,                   0,             0.50201,              0.5474,             0.53146,              0.2181,            0.048381,             0.14929,                   0,             0.00505,             0.00505,             0.00505
                  27,            0.047073,             0.12631,                   0,             0.52317,             0.56636,             0.56351,             0.24065,            0.046574,             0.14692,                   0,            0.004852,            0.004852,            0.004852
                  28,            0.046536,             0.13002,                   0,             0.53746,             0.56965,             0.56731,             0.23968,            0.046514,             0.14827,                   0,            0.004654,            0.004654,            0.004654
                  29,            0.046808,             0.13537,                   0,             0.57089,              0.5579,             0.56934,             0.24093,            0.046441,              0.1492,                   0,            0.004456,            0.004456,            0.004456
                  30,            0.046133,             0.13015,                   0,             0.53704,             0.55153,             0.55575,             0.23393,            0.046187,             0.14983,                   0,            0.004258,            0.004258,            0.004258
                  31,            0.045454,              0.1313,                   0,             0.56836,              0.5224,             0.55205,             0.23022,            0.047029,             0.15002,                   0,             0.00406,             0.00406,             0.00406
                  32,            0.045406,             0.12861,                   0,             0.55107,             0.53888,             0.54961,             0.23182,            0.046207,             0.14985,                   0,            0.003862,            0.003862,            0.003862
                  33,            0.045064,             0.13295,                   0,             0.53542,             0.56089,             0.55742,             0.23836,            0.046481,             0.14932,                   0,            0.003664,            0.003664,            0.003664
                  34,            0.045044,             0.13246,                   0,             0.56168,             0.58505,              0.5838,             0.25182,            0.045158,             0.14779,                   0,            0.003466,            0.003466,            0.003466
                  35,            0.044394,             0.12987,                   0,             0.53136,             0.56272,             0.55008,             0.23153,            0.046964,             0.15095,                   0,            0.003268,            0.003268,            0.003268
                  36,            0.044426,             0.12762,                   0,             0.56909,             0.57049,             0.57348,             0.24601,            0.045614,              0.1493,                   0,             0.00307,             0.00307,             0.00307
                  37,            0.044762,             0.13161,                   0,             0.57946,             0.55395,             0.56747,             0.24362,            0.045411,             0.15138,                   0,            0.002872,            0.002872,            0.002872
                  38,            0.043269,             0.12493,                   0,             0.55253,             0.56564,             0.56624,             0.23352,            0.047104,             0.15462,                   0,            0.002674,            0.002674,            0.002674
                  39,             0.04399,             0.12715,                   0,             0.57302,               0.554,             0.57139,             0.24135,            0.046205,             0.15206,                   0,            0.002476,            0.002476,            0.002476
                  40,            0.044272,             0.12776,                   0,             0.57771,             0.55427,             0.57434,             0.25182,            0.045321,             0.15044,                   0,            0.002278,            0.002278,            0.002278
                  41,            0.044027,             0.13183,                   0,             0.56762,             0.56636,              0.5665,             0.24721,            0.045626,             0.15126,                   0,             0.00208,             0.00208,             0.00208
                  42,            0.044027,             0.12716,                   0,             0.57148,             0.56527,             0.56962,             0.25145,            0.045236,             0.15185,                   0,            0.001882,            0.001882,            0.001882
                  43,            0.043812,              0.1308,                   0,             0.56485,             0.56087,             0.56429,             0.24266,            0.046412,             0.15284,                   0,            0.001684,            0.001684,            0.001684
                  44,            0.043058,              0.1238,                   0,             0.56605,              0.5531,             0.56095,             0.24277,            0.045813,              0.1531,                   0,            0.001486,            0.001486,            0.001486
                  45,            0.043738,             0.12487,                   0,             0.58318,             0.54356,             0.56046,             0.24088,            0.045882,             0.15401,                   0,            0.001288,            0.001288,            0.001288
                  46,            0.043104,             0.12822,                   0,             0.56562,             0.56073,             0.56173,             0.24187,            0.046015,             0.15523,                   0,             0.00109,             0.00109,             0.00109
                  47,            0.042521,             0.12678,                   0,             0.58281,             0.55922,              0.5694,             0.24523,            0.045737,             0.15447,                   0,            0.000892,            0.000892,            0.000892
                  48,            0.042863,             0.12611,                   0,             0.56771,             0.54905,              0.5582,             0.23958,            0.045903,             0.15502,                   0,            0.000694,            0.000694,            0.000694
                  49,            0.042749,             0.12606,                   0,             0.56279,             0.55867,             0.55956,             0.24033,            0.045858,             0.15461,                   0,            0.000496,            0.000496,            0.000496
